user,type,date,country,uploads,views,subs
2011flowerpower,animals,2011-01-29,ca,1,"16,182,813","18,118"
20cissne,animals,2008-05-26,pe,237,"44,229,511","33,193"
aaaz38,animals,2010-01-24,ua,646,"16,724,438","14,306"
alejitis12,animals,2008-10-03,co,19,"43,675,266","19,378"
aleshkanelepiy,animals,2010-08-27,de,6,"3,405,694",754
andrewucles,animals,2012-07-09,au,55,"92,595,214","434,662"
animalaidunlimited,animals,2008-08-02,in,80,"87,871,741","214,886"
animaleg2014,animals,2014-04-04,eg,195,"62,015,409","49,295"
animalwire,animals,2012-10-09,us,130,"157,317,509","222,740"
animalztv4u,animals,2014-05-20,us,98,"23,447,775","54,649"
animatedcams,animals,2011-01-05,za,232,"293,727,509","244,986"
anyadherby,animals,2014-10-12,hu,"1,355","18,671,732","64,761"
asahicom,animals,2006-08-22,jp,"6,649","133,524,279","69,501"
audioclassa,animals,2010-06-25,us,6,"3,439,880","3,557"
bbcearth,animals,2009-02-25,gb,"1,105","201,087,501","591,183"
bencileyin,animals,2006-12-17,,12,"1,308,691",260
bfvsgf,animals,2009-10-09,us,"1,696","2,436,766,789","8,532,702"
bigcatrescue,animals,2006-08-15,us,610,"129,247,477","277,132"
bodhispeak,animals,2011-12-14,in,192,"53,803,606","49,350"
bomberball,animals,2006-10-03,th,285,"440,817,721","1,924,928"
breakingtrail,animals,2014-09-08,us,141,"62,019,177","429,209"
brettvett1,animals,2006-08-03,us,230,"81,776,005","96,541"
cesarsmalldogtv,animals,2008-04-01,us,27,"6,021,159","5,193"
chrispoole20,animals,2007-07-19,us,219,"72,677,805","279,327"
cobra123473,animals,2011-04-04,ps,"1,095","147,760,845","240,287"
cookingwithdog,animals,2007-09-05,jp,295,"141,141,865","1,131,150"
crackrockcandy,animals,2006-10-30,us,118,"72,904,041","94,474"
cutiesnfuzzies,animals,2011-09-01,us,879,"79,562,140","133,711"
cypmascota,animals,2011-07-22,es,300,"24,624,270","141,423"
dodoanddoja,animals,2014-06-16,gb,441,"17,580,816",0
earthtouch,animals,2007-04-25,za,"1,527","92,964,048","155,607"
eldad75,animals,2006-09-14,us,238,"259,171,851","861,060"
epictooltime,animals,2012-02-07,us,231,"485,596,142","751,321"
ezratwena,animals,2006-10-26,il,130,"205,566,480","86,593"
faireset2,animals,2011-01-31,fr,79,"146,914,518","543,345"
fermerae,animals,2008-01-17,ru,"2,275","57,736,272","52,983"
funnyplox,animals,2010-11-27,ca,160,"597,061,544","675,606"
gardea23,animals,2008-02-08,us,692,"472,188,566","770,969"
gatosrisicas,animals,2013-03-25,mx,432,"56,573,025","132,581"
gonetothesnowdogs,animals,2009-11-30,us,"1,007","43,369,247","203,437"
guruqa,animals,2014-09-01,,174,"102,889,046","113,336"
gutaiderbichl,animals,2007-12-26,de,271,"20,545,100","17,217"
hahaafrica,animals,2011-10-18,ke,43,"42,630,010","42,772"
horsebreedingtv,animals,2013-12-09,us,18,"23,484,639","28,240"
ignoramusky,animals,2008-10-15,us,309,"298,676,463","134,568"
jananoi,animals,2007-01-04,th,241,"18,598,124","70,583"
jungwoopark79,animals,2010-11-22,kr,234,"11,880,655","69,895"
junnosippo,animals,2007-10-24,jp,"2,568","62,251,374","31,142"
kbad73,animals,2007-05-10,us,23,"145,902,069","45,394"
keniasharpstars,animals,2013-02-05,ar,56,"32,214,334","28,219"
littleking0007,animals,2010-09-11,ca,132,"27,996,510","55,717"
luli60able,animals,2010-03-26,,5,"26,717,211","27,206"
manandbeastvideos,animals,2012-11-01,us,25,"33,225,358","67,307"
mangoworms,animals,2012-08-27,de,85,"90,792,577","79,467"
mantismediapro,animals,2012-03-29,ua,118,"73,016,424","190,279"
marketaridgebackove,animals,2007-07-06,,81,"26,845,059","15,679"
mashupzone1,animals,2014-04-28,gr,89,"86,115,338","205,169"
maxxanimal,animals,2013-04-18,us,88,"59,875,341","59,930"
mihaifrancu,animals,2007-06-03,us,131,"160,160,987","228,172"
mrcarlospinto16,animals,2011-05-23,us,3,"18,978,223","13,678"
mundoanimalcanal,animals,2014-09-23,us,52,"21,901,420","20,726"
natgeotvwild,animals,2013-06-20,fr,760,"23,487,276","69,130"
nationalgeographic,animals,2006-05-07,us,"6,829","1,571,620,808","4,485,699"
naturabd,animals,2012-04-19,ro,210,"40,210,808","29,108"
ninbee1,animals,2011-07-28,au,40,"5,760,783","3,945"
ojatro,animals,2006-12-30,us,730,"318,312,152","156,185"
onewiththeherd,animals,2007-09-29,ca,54,"4,771,992","1,687"
parrygripp,animals,2006-08-12,us,112,"153,226,661","332,277"
pedigreebrand,animals,2008-04-01,us,54,"33,642,479","8,401"
petsami,animals,2008-10-13,us,"2,158","358,342,215","327,642"
prehistoricpetstv,animals,2007-10-12,us,787,"59,326,584","133,111"
purinadogchowbr,animals,2013-03-26,br,14,"10,645,472","7,173"
ramimor,animals,2006-11-02,us,296,"172,335,980","88,121"
raymaker8,animals,2008-05-30,gb,12,"66,704,729","26,788"
rikeste,animals,2012-01-23,,10,"3,278,350","1,179"
rumbleviral,animals,2014-04-28,ca,"2,918","305,335,118","97,804"
simonscat,animals,2007-11-14,gb,80,"722,703,512","3,761,436"
sjogrenanders,animals,2010-01-13,se,164,"50,957,685","36,977"
smithsoniannzp,animals,2008-08-25,us,292,"19,617,457","21,194"
snakebytestv,animals,2008-01-05,us,682,"103,303,840","386,398"
snakehunterstv,animals,2012-03-18,us,146,"25,058,446","142,682"
spindlehorse,animals,2012-09-09,us,82,"23,139,713","234,486"
stevecash83,animals,2007-11-30,us,133,"156,099,917","459,076"
temptationsbrand,animals,2009-07-20,us,10,"34,572,071","7,256"
thanhphatchannel,animals,2014-02-14,vn,161,"43,780,807",0
theanimaterra,animals,2013-04-28,es,582,"71,491,947","123,233"
thebeaglelouie,animals,2012-10-27,be,109,"20,345,526","49,874"
thebeverage213,animals,2012-12-12,,20,"1,170,069","1,122"
themikheili,animals,2013-09-06,us,761,"20,806,845","21,181"
thepetcollective,animals,2012-01-05,us,"2,204","207,725,793","637,001"
theuncochin,animals,2009-04-11,us,324,"36,868,021","371,697"
thewildlifeaidtv,animals,2013-08-07,gb,314,"23,435,849","90,771"
toskana135,animals,2009-04-22,de,"3,572","11,676,926","6,823"
uarujoey,animals,2008-05-17,ca,217,"31,904,072","172,642"
vaandervik,animals,2009-02-27,ua,13,"26,884,122","25,349"
vazon2,animals,2006-09-06,gb,75,"53,254,028","56,501"
vetranch,animals,2014-01-28,us,128,"42,936,031","424,587"
videodigestchannel,animals,2013-01-22,us,37,"24,231,217","45,234"
webuser07,animals,2007-05-03,gr,31,"34,990,582","35,387"
wloltigerlolw3,animals,2013-11-09,si,75,"138,492,092","211,418"
1320video,autos,2006-05-17,us,820,"407,819,465","1,101,746"
1aauto,autos,2007-05-21,us,"3,385","155,056,277","312,310"
a21072,autos,2010-12-25,ru,392,"237,002,543","879,310"
abo5nfsh,autos,2010-09-03,sa,156,"9,607,203","10,432"
academeg,autos,2010-12-27,ru,245,"64,466,323","539,261"
arabmotorstv,autos,2009-05-26,ae,"1,550","111,482,507","414,430"
armadi94,autos,2007-11-28,no,183,"115,110,466","140,285"
armedforcesupdate,autos,2013-01-30,au,570,"181,041,717","298,343"
autobild,autos,2006-03-13,de,"3,079","112,549,273","146,823"
autocarindia1,autos,2010-08-11,in,"1,004","66,300,902","201,944"
automototube,autos,2011-12-02,ca,"10,833","168,642,444","179,678"
avtoblog2014,autos,2013-10-03,us,"1,464","56,896,506","29,824"
bayancover,autos,2013-01-13,ru,21,"24,302,771","548,625"
berlintomek,autos,2008-07-31,de,"1,025","105,075,541","136,377"
bikonkavfoto,autos,2007-11-03,de,633,"58,758,251","37,371"
bmwclubb,autos,2011-09-15,,27,"356,875",259
bruderspielwaren,autos,2012-02-21,de,73,"111,427,212","59,597"
bustedknucklevideo,autos,2010-05-17,us,"3,419","107,315,752","116,723"
carbuyer,autos,2006-09-15,gb,556,"164,400,819","364,730"
carthrottle,autos,2009-04-22,gb,324,"146,326,487","923,329"
ceo100able,autos,2012-01-09,us,878,"96,591,490","66,495"
chevroletbrasil,autos,2008-05-09,br,162,"19,069,488","33,718"
coasterfan2105,autos,2008-09-20,us,525,"53,268,188","44,229"
dragtimesinfo,autos,2009-06-08,ru,715,"397,993,460","985,282"
drive,autos,2005-11-28,us,"1,083","308,124,315","1,599,095"
endurokrzeszowice,autos,2012-11-12,ro,49,"60,875,828","307,628"
engineeringexplained,autos,2011-06-24,us,426,"47,166,592","491,691"
exetrizegamer,autos,2013-03-02,br,"2,203","324,012,745","1,101,370"
fifthgearuk,autos,2007-08-09,gb,865,"110,633,078","423,890"
garageta1k,autos,2012-09-11,us,305,"47,358,656","286,577"
griprtl2,autos,2013-06-07,de,308,"153,973,882","484,940"
gumbal,autos,2006-05-01,nl,"1,718","261,165,355","357,373"
hightechcorvette,autos,2009-12-17,us,899,"326,016,676","341,706"
hotwheels,autos,2005-12-06,us,895,"291,244,945","259,927"
hyundaiusa,autos,2007-10-11,us,461,"105,050,708","153,601"
ineamm,autos,2009-06-15,fr,567,"66,715,111","39,391"
jaylenosgarage,autos,2008-12-11,us,460,"200,048,585","1,503,774"
jppgmbh,autos,2012-05-05,de,400,"95,387,350","390,441"
kamonpop1,autos,2009-08-01,th,115,"36,343,472","57,608"
khersonsity,autos,2013-02-23,us,456,"29,803,337","24,007"
kiabuzz,autos,2008-09-29,kr,669,"187,909,159","58,616"
lifeoftech,autos,2008-12-10,us,192,"6,076,667","13,764"
m5boarddotcom,autos,2006-05-09,se,"3,479","276,712,480","206,890"
madram11,autos,2006-08-05,us,"3,403","201,790,384","207,580"
marchettino,autos,2006-07-02,it,"1,658","224,477,850","317,265"
mazdaofficialweb,autos,2012-03-30,jp,224,"18,271,634","33,840"
megaretr,autos,2010-01-15,ru,"1,798","110,089,112","126,770"
mightycarmods,autos,2008-01-08,au,260,"224,841,549","1,709,809"
miniusa,autos,2006-06-02,us,207,"31,716,963","37,525"
monsterchannel24,autos,2012-10-28,de,455,"136,775,276","171,366"
motortrend,autos,2006-03-11,us,"1,470","1,001,620,213","3,784,365"
mrmegaroma,autos,2009-08-11,ru,743,"21,754,531","8,012"
mrperlenpaula,autos,2009-07-10,de,571,"76,622,555","81,874"
mtvlebanon,autos,2009-09-08,lb,"27,654","367,390,355","545,933"
mxmantv,autos,2013-10-29,us,78,"110,054,706","369,623"
myhonchosg,autos,2011-02-27,sg,559,"117,865,148","130,101"
nissanusa,autos,2006-09-19,us,508,"34,183,710","129,990"
nm2255,autos,2009-01-20,it,980,"176,859,459","218,932"
nx0m,autos,2011-10-12,sv,7,"51,182,643","44,522"
ohiko2000,autos,2006-08-04,jp,"6,894","158,749,235","54,948"
paintballoo7,autos,2008-07-30,us,250,"83,891,226","587,870"
peteruppert,autos,2007-10-24,de,"1,680","109,774,405","55,887"
rekjavicxxx,autos,2007-10-28,us,"1,570","160,180,634","188,218"
rnickeymouse,autos,2006-12-30,us,222,"256,816,608","256,360"
romanmicagearguy,autos,2009-03-26,us,"2,220","194,041,644","431,778"
royaljordanian,autos,2006-10-16,gb,646,"77,131,059","365,640"
rudycoursedecote,autos,2012-06-08,fr,62,"11,728,464","15,991"
saabkyle04,autos,2007-07-25,us,"1,800","382,088,097","864,580"
scottykilmer,autos,2007-08-19,us,496,"106,878,368","456,118"
shmee150,autos,2006-07-07,gb,"2,658","250,846,230","659,323"
shotka77channel,autos,2012-11-26,us,53,"34,300,569","29,642"
smotratv,autos,2009-12-02,ru,353,"351,184,398","2,123,471"
spamsafe,autos,2006-08-15,us,588,"259,797,896","276,634"
stillavinlive,autos,2010-04-18,ru,"4,290","193,785,621","671,832"
